0.002057613,300 ,0 ,0 ,0 ,0 ,0 ,100 
0.002057613,20 ,400 ,200 ,0 ,0 ,0 ,0 
0.004115226,170 ,0 ,,300 ,100 ,0 ,0 
0.008230453,120 ,0 ,0 ,0 ,0 ,120 ,75 
0.008230453,80 ,20 ,0 ,0 ,40 ,60 ,150 
0.016460905,60 ,0 ,0 ,40 ,0 ,0 ,0 
0.028806584,40 ,50 ,30 ,0 ,0 ,0 ,0 
0.016460905,30 ,20 ,50 ,70 ,60 ,0 ,0 
0.049382716,25 ,0 ,0 ,0 ,0 ,60 ,0 
0.082304527,30 ,30 ,30 ,0 ,30 ,10 ,10 
0.102880658,24 ,25 ,0 ,0 ,60 ,0 ,20 
0.12345679,0 ,25 ,0 ,55 ,20 ,0 ,0 
0.102880658,0 ,12 ,30 ,50 ,0 ,30 ,10 
0.082304527,30 ,0 ,20 ,10 ,0 ,20 ,0 
0.082304527,0 ,10 ,5 ,25 ,0 ,0 ,30 
0.12345679,0 ,0 ,30 ,20 ,33 ,20 ,0 
0.164609053,0 ,10 ,20 ,0 ,20 ,40 ,20 
